ID,Latitude,Longitude,SpSIC (%),Group,IP25,IPSO25,HBI_III,HBI_IV,I,II,III,IV
625,71.72,21.76,0,Mar,0,0,0.22,0.21,0,0,51.1627907,48.8372093
627,72.32,24.06,0,Mar,0,0,0.09,0.03,0,0,75,25
629,73.01,24.25,0,Mar,0,0,0.66,0.35,0,0,65.34653465,34.65346535
631,73.67,24.47,0,Mar,0,0,0.95,0.42,0,0,69.34306569,30.65693431
633,74.34,24.69,4.280333333,Mar,0.45,1.75,4.56,2.01,5.13112885,19.95438997,51.995439,22.91904219
635,75,24.94,6.804666667,Mar,3.86,18.97,46.93,22.19,4.19793366,20.6307776,51.03860794,24.1326808
639,75.57,27.9,9.404333333,Mar,2.5,10.06,32.5,15.02,4.16111851,16.74434088,54.09454061,25
643,76.49,29.91,28.11133333,Int,3.03,8.85,25.1,12.16,6.16605617,18.00976801,51.07855108,24.74562475
645,75.86,29.46,15.14433333,Int,1.18,4.95,16.21,7.38,3.97039031,16.65545087,54.54239569,24.83176312
647,75.2,29.01,6.195666667,Mar,0.8,3.13,15.09,6.82,3.09597523,12.1130031,58.39783282,26.39318885
649,74.54,28.58,4.824666667,Mar,0,1.54,8.8,3.53,0,11.10310022,63.44628695,25.45061283
651,74.64,26.08,6.602333333,Mar,0.71,2.91,9.02,4.1,4.24133811,17.38351254,53.88291517,24.49223417
653,73.97,25.81,0,Mar,0,0,3.15,1.32,0,0,70.46979866,29.53020134
655,73.31,25.54,0,Mar,0,0,0.97,0.44,0,0,68.79432624,31.20567376
657,72.64,25.27,0,Mar,0,0,0.24,0.16,0,0,60,40
659,71.98,25.06,0,Mar,0,0,0.28,0.13,0,0,68.29268293,31.70731707
661,71.37,22.76,0,Mar,0,0,0.24,0.12,0,0,66.66666667,33.33333333
663,71.61,25.99,0,Mar,0,0,0.21,0.1,0,0,67.74193548,32.25806452
665,72.17,28.41,0,Mar,0,0,0.41,0.19,0,0,68.33333333,31.66666667
667,72.84,28.76,0,Mar,0,0,0.62,0.27,0,0,69.66292135,30.33707865
669,73.5,29.15,0,Mar,0,0,1.42,0.65,0,0,68.59903382,31.40096618
671,74.15,29.55,0,Mar,0,0,3.15,1.21,0,0,72.24770642,27.75229358
673,74.67,32.49,5.166333333,Mar,1.35,4.65,16.89,7.45,4.44957152,15.32630191,55.66908372,24.55504285
675,75.33,33.07,7.104333333,Mar,1.2,4.2,18.36,7.91,3.78907483,13.26176192,57.97284496,24.97631828
677,75.97,33.73,23.00666667,Int,1.09,3.39,5.98,2.77,8.2388511,25.62358277,45.20030234,20.93726379
679,76.62,34.45,49.72866667,Int,4.61,15.77,9.37,4.45,13.47953216,46.11111111,27.39766082,13.01169591
681,76.43,37.17,36.869,Int,1.44,4.4,14.09,6.62,5.42372881,16.57250471,53.06967985,24.93408663
690,71.02,30.96,0,Mar,0,0,0.25,0.25,0,0,50,50
692,70.62,31.72,0,Mar,0,0,0.18,0,0,0,100,0
R3 MC110,71.33,22.42,0,Mar,0,0,0.49,0.29,0,0,62.82051282,37.17948718
R4 MC107,71.33,22.49,0,Mar,0,0,0.35,0.22,0,0,61.40350877,38.59649123
R10 MC96,71.21,21.45,0,Mar,0,0,0.34,0.34,0,0,50,50
R11 MC105,71.22,21.72,0,Mar,0,0,0.19,0.19,0,0,50,50
R14 MC94,71.13,21.44,0,Mar,0,0,0.5,0.39,0,0,56.17977528,43.82022472
R18 MC98,71.31,21.28,0,Mar,0,0,0.12,0.09,0,0,57.14285714,42.85714286
R37 MC115,70.31,22.26,0,Mar,0,0,2.32,1.52,0,0,60.41666667,39.58333333
R49 MC128,70.42,22.1,0,Mar,0,0,1.6,1.24,0,0,56.33802817,43.66197183
R68 MC149,71.32,22.5,0,Mar,0,0,1.21,0.75,0,0,61.73469388,38.26530612
R68A MC136,71.32,22.49,0,Mar,0,0,0.19,0,0,0,100,0
R77 MC001,69.96,20.44,0,Mar,0,0,2.04,1.59,0,0,56.19834711,43.80165289
R80 MC004,69.66,20.43,0,Mar,0,0,1.82,1.49,0,0,54.98489426,45.01510574
R81 MC002,71.16,18.65,0,Mar,0,0,0.28,0.21,0,0,57.14285714,42.85714286
R96 MC008,69.71,15.2,0,Mar,0,0,1.27,0.84,0,0,60.18957346,39.81042654
R104 MC011,70.19,17.73,0,Mar,0,0,0.59,0.4,0,0,59.5959596,40.4040404
R112 MC007,69.81,17.42,0,Mar,0,0,4.17,2.83,0,0,59.57142857,40.42857143
R117 MC005,69.85,17.13,0,Mar,0,0,0.53,0.52,0,0,50.47619048,49.52380952
R184 BX065,69.41,16.4,0,Mar,0,0,2.26,1.73,0,0,56.64160401,43.35839599
R223 MC005 c2,69.26,16.33,0,Mar,0,0,1.75,1.36,0,0,56.27009646,43.72990354
R231 MC008 c6,69.26,14.33,0,Mar,0,0,1.89,2.21,0,0,46.09756098,53.90243902
R243 GR037 ,68.58,13.71,0,Mar,0,0,0.27,0.13,0,0,67.5,32.5
R248 GR039,68.78,12.53,0,Mar,0,0,2.12,2.53,0,0,45.59139785,54.40860215
R259 GR041,69.18,13.98,0,Mar,0,0,1.48,1.71,0,0,46.39498433,53.60501567
R259 MC011 c6,69.18,13.98,0,Mar,0,0,1.12,1.4,0,0,44.44444444,55.55555556
R276 BX049,68.48,10.97,0,Mar,0,0,0.29,0.36,0,0,44.61538462,55.38461538
R280A MC016 c1,68.14,12.3,0,Mar,0,0,0.77,0.46,0,0,62.60162602,37.39837398
R291 MC020,68.61,15.24,0,Mar,0,0,4.9,4.62,0,0,51.47058824,48.52941176
R291 MC022 c3,68.61,15.24,0,Mar,0,0,7.23,6.48,0,0,52.73522976,47.26477024
R297 BX056,68.65,11.91,0,Mar,0,0,0.4,0.44,0,0,47.61904762,52.38095238
R301 MC023 c5,68.71,11.59,0,Mar,0,0,0.99,1.14,0,0,46.47887324,53.52112676
R311 BX059 c1,68.9,12.67,0,Mar,0,0,1.48,1.69,0,0,46.68769716,53.31230284
R351 BX065,68.85,13.1,0,Mar,0,0,0.3,0.36,0,0,45.45454545,54.54545455
R359 BX067,68.09,11.6,0,Mar,0,0,0.23,0.12,0,0,65.71428571,34.28571429
R406 MC0,72.19,14.83,0,Mar,0,0,0.61,0.64,0,0,48.8,51.2
R754 MC021 c0,67.8,9.71,0,Mar,0,0,0.54,0.66,0,0,45,55
R776 MC004 c2,68.19,10.36,0,Mar,0,0,0.5,0.49,0,0,50.50505051,49.49494949
R782 MC007 c2,68.06,9.47,0,Mar,0,0,0.63,0.63,0,0,50,50
R889 MC025 k1,64.29,8.8,0,Mar,0,0,5.57,1.66,0,0,77.04011065,22.95988935
R911 MC022 k4,63.55,7.41,0,Mar,0,0,8.91,2.08,0,0,81.07370337,18.92629663
R932 BX029-1,64.11,5.73,0,Mar,0,0,2.62,2.3,0,0,53.25203252,46.74796748
R942 BX026-1,64.41,5.57,0,Mar,0,0,3.34,3.78,0,0,46.91011236,53.08988764
R949 MC028 core D,65.16,9.35,0,Mar,0,0,1.69,0.73,0,0,69.83471074,30.16528926
R949 MC028 k2,65.16,9.35,0,Mar,0,0,0.8,0.49,0,0,62.01550388,37.98449612
R961 MC024 k1,64.17,8.1,0,Mar,0,0,2.8,0.95,0,0,74.66666667,25.33333333
